time,open,high,low,close,volume
2022-04-08 19:55:00,90.89,90.89,90.89,90.89,281
2022-04-08 19:50:00,90.68,90.68,90.67,90.67,1568
2022-04-08 19:20:00,90.75,90.75,90.75,90.75,200
2022-04-08 19:00:00,90.95,90.95,90.95,90.95,100
2022-04-08 18:30:00,90.75,90.75,90.75,90.75,110
2022-04-08 18:05:00,90.7,90.7,90.7,90.7,488
2022-04-08 17:55:00,91.0,91.0,91.0,91.0,201
2022-04-08 17:50:00,90.71,90.71,90.7,90.7,1002
2022-04-08 17:35:00,91.0,91.0,91.0,91.0,123
2022-04-08 17:25:00,90.7277,90.7277,90.7277,90.7277,100
2022-04-08 16:55:00,90.71,90.71,90.71,90.71,582
2022-04-08 16:40:00,90.95,90.95,90.95,90.95,105
2022-04-08 16:30:00,90.69,90.69,90.69,90.69,2601
2022-04-08 16:15:00,90.7,90.7,90.7,90.7,125
2022-04-08 16:10:00,90.67,90.67,90.67,90.67,517
2022-04-08 16:05:00,90.69,90.69,90.1838,90.69,27127
2022-04-08 16:00:00,90.73,90.93,90.62,90.79,166592
2022-04-08 15:55:00,90.9494,91.05,90.64,90.69,56405
2022-04-08 15:50:00,91.1,91.18,90.88,90.935,47241
2022-04-08 15:45:00,90.95,91.12,90.81,91.09,20274
2022-04-08 15:40:00,91.08,91.085,90.81,90.8999,30122
2022-04-08 15:35:00,91.29,91.32,91.04,91.07,15722
2022-04-08 15:30:00,91.24,91.25,91.05,91.25,9528
2022-04-08 15:25:00,91.29,91.42,91.06,91.16,11528
2022-04-08 15:20:00,91.39,91.66,91.33,91.34,13587
2022-04-08 15:15:00,90.9,91.54,90.85,91.4,16756
2022-04-08 15:10:00,91.0551,91.17,90.86,90.96,11475
2022-04-08 15:05:00,90.89,91.06,90.79,91.06,14460
2022-04-08 15:00:00,91.14,91.17,90.8875,90.9983,19149
2022-04-08 14:55:00,90.97,91.28,90.845,91.28,24992
2022-04-08 14:50:00,90.64,90.98,90.64,90.98,12007
2022-04-08 14:45:00,90.645,90.79,90.57,90.63,17655
2022-04-08 14:40:00,90.51,90.75,90.39,90.7,19798
2022-04-08 14:35:00,90.71,90.71,90.37,90.43,33130
2022-04-08 14:30:00,91.02,91.02,90.69,90.77,12528
2022-04-08 14:25:00,91.24,91.35,91.04,91.04,5719
2022-04-08 14:20:00,91.24,91.33,91.0402,91.2799,9718
2022-04-08 14:15:00,91.05,91.27,91.05,91.24,11607
2022-04-08 14:10:00,90.77,91.0104,90.71,90.95,10809
2022-04-08 14:05:00,90.9,91.14,90.7855,90.7855,9272
2022-04-08 14:00:00,91.0,91.0412,90.88,90.96,6418
2022-04-08 13:55:00,90.86,91.07,90.74,91.03,14221
2022-04-08 13:50:00,90.79,90.855,90.6601,90.835,11133
2022-04-08 13:45:00,90.84,90.87,90.61,90.8499,10483
2022-04-08 13:40:00,90.65,90.899,90.55,90.82,14484
2022-04-08 13:35:00,90.78,90.905,90.7011,90.705,47314
2022-04-08 13:30:00,90.97,90.99,90.76,90.82,18989
2022-04-08 13:25:00,91.44,91.44,90.965,91.0,16483
2022-04-08 13:20:00,91.15,91.445,90.94,91.445,39684
2022-04-08 13:15:00,91.69,91.75,91.15,91.23,17746
2022-04-08 13:10:00,91.885,91.885,91.5,91.735,17691
2022-04-08 13:05:00,92.0062,92.0062,91.69,91.91,8573
2022-04-08 13:00:00,92.14,92.21,92.0,92.11,9711
2022-04-08 12:55:00,91.87,92.235,91.87,92.16,12825
2022-04-08 12:50:00,91.94,92.1399,91.87,91.9075,7004
2022-04-08 12:45:00,92.391,92.391,91.95,91.98,14116
2022-04-08 12:40:00,91.8425,92.365,91.7,92.365,20988
2022-04-08 12:35:00,92.22,92.22,91.73,91.815,18374
2022-04-08 12:30:00,92.16,92.53,92.13,92.29,23550
2022-04-08 12:25:00,92.1225,92.4999,92.05,92.11,32019
2022-04-08 12:20:00,91.84,92.11,91.56,92.09,9680
2022-04-08 12:15:00,91.66,92.121,91.6,91.835,11805
2022-04-08 12:10:00,91.77,91.77,91.59,91.6597,5976
2022-04-08 12:05:00,91.97,92.28,91.665,91.81,11158
2022-04-08 12:00:00,91.75,91.96,91.6,91.96,8378
2022-04-08 11:55:00,92.11,92.11,91.86,91.89,7450
2022-04-08 11:50:00,91.67,92.24,91.45,92.01,17992
2022-04-08 11:45:00,91.445,91.768,91.445,91.62,9383
2022-04-08 11:40:00,91.4,91.57,90.99,91.5,35043
2022-04-08 11:35:00,91.46,91.72,91.43,91.58,11924
2022-04-08 11:30:00,91.635,91.77,91.4,91.41,13262
2022-04-08 11:25:00,92.4,92.4,91.5,91.66,24830
2022-04-08 11:20:00,92.75,92.75,92.4,92.4,15238
2022-04-08 11:15:00,92.62,93.1,92.46,92.86,16421
2022-04-08 11:10:00,92.69,92.755,92.35,92.73,24032
2022-04-08 11:05:00,92.47,93.05,92.29,92.56,15361
2022-04-08 11:00:00,92.6,92.7206,92.1436,92.58,16102
2022-04-08 10:55:00,91.555,92.82,91.46,92.695,30790
2022-04-08 10:50:00,92.08,92.46,91.53,91.53,28599
2022-04-08 10:45:00,93.0,93.165,92.0325,92.13,22540
2022-04-08 10:40:00,92.83,92.94,92.46,92.92,22852
2022-04-08 10:35:00,93.3217,93.37,92.45,92.69,33591
2022-04-08 10:30:00,92.41,93.39,92.33,93.2884,36828
2022-04-08 10:25:00,91.536,92.59,91.47,92.4,48493
2022-04-08 10:20:00,91.33,91.52,90.96,91.36,27850
2022-04-08 10:15:00,91.63,91.7125,90.9332,91.205,17112
2022-04-08 10:10:00,91.43,91.7118,90.7757,91.71,23881
2022-04-08 10:05:00,91.24,91.45,90.8,91.45,22143
2022-04-08 10:00:00,90.9,91.42,90.77,91.4,36686
2022-04-08 09:55:00,91.88,92.07,90.7887,90.7887,48786
2022-04-08 09:50:00,91.45,92.55,91.355,92.03,74576
2022-04-08 09:45:00,91.31,91.91,90.11,91.5,81467
2022-04-08 09:40:00,91.75,91.97,91.02,91.42,86965
2022-04-08 09:35:00,92.67,93.6199,91.5,91.7977,67782
2022-04-08 09:30:00,93.2174,93.2174,92.62,92.62,3171
2022-04-08 09:20:00,93.35,93.35,93.21,93.21,630
2022-04-08 09:15:00,93.0,93.4,93.0,93.3,1412
2022-04-08 09:10:00,93.46,93.46,93.46,93.46,470
2022-04-08 09:05:00,93.64,93.64,93.5,93.5,1916
2022-04-08 09:00:00,94.0,94.0,94.0,94.0,662
2022-04-08 08:55:00,93.85,93.85,93.85,93.85,416
2022-04-08 08:50:00,93.8,93.8,93.8,93.8,301
2022-04-08 08:45:00,94.1,94.21,93.86,93.86,3769
2022-04-08 08:40:00,94.2,94.3,94.2,94.3,1925
2022-04-08 08:30:00,94.4,94.4,94.4,94.4,407
2022-04-08 08:15:00,94.25,94.25,94.25,94.25,432
2022-04-08 08:05:00,94.8499,94.95,94.2,94.2,1367
2022-04-08 07:55:00,94.51,94.51,94.4,94.4,1484
2022-04-08 07:45:00,94.85,94.85,94.85,94.85,200
2022-04-08 07:35:00,94.6,94.6,94.6,94.6,241
2022-04-08 07:20:00,94.5,94.5,94.5,94.5,580
2022-04-08 06:15:00,94.47,94.47,94.47,94.47,432
2022-04-08 05:35:00,94.51,94.51,94.51,94.51,300
2022-04-08 05:15:00,94.02,94.02,94.02,94.02,226
2022-04-08 04:40:00,95.35,95.35,95.35,95.35,201
2022-04-08 04:30:00,95.4,95.4,95.39,95.39,381
2022-04-08 04:20:00,95.7,95.7,95.7,95.7,228
2022-04-07 20:00:00,94.5,94.5,94.5,94.5,220
2022-04-07 19:35:00,93.96,93.98,93.96,93.98,311
2022-04-07 19:30:00,93.97,93.97,93.97,93.97,2156
