time,open,high,low,close,volume
2022-04-08 20:00:00,30.66,30.66,30.66,30.66,975
2022-04-08 19:00:00,30.73,30.73,30.66,30.67,7890
2022-04-08 18:00:00,30.73,30.73,30.72,30.72,672
2022-04-08 17:00:00,30.77,30.83,30.7231,30.75,526663
2022-04-08 16:00:00,30.93,31.03,30.73,30.775,2326558
2022-04-08 15:00:00,30.985,31.01,30.79,30.93,1105947
2022-04-08 14:00:00,31.0273,31.1176,30.8816,30.985,899154
2022-04-08 13:00:00,30.98,31.15,30.83,31.02,1376901
2022-04-08 12:00:00,31.27,31.29,30.855,30.99,1416089
2022-04-08 11:00:00,30.91,31.27,30.69,31.27,2612803
2022-04-08 10:00:00,31.74,31.9899,30.87,30.92,2568207
2022-04-08 09:00:00,31.7199,31.9,31.65,31.76,68986
2022-04-08 08:00:00,31.85,31.85,31.64,31.82,13458
2022-04-08 07:00:00,31.63,31.63,31.63,31.63,407
2022-04-08 06:00:00,31.85,31.85,31.85,31.85,102
2022-04-07 20:00:00,31.34,31.41,31.34,31.41,2299
2022-04-07 19:00:00,31.36,31.37,31.32,31.32,1875
2022-04-07 18:00:00,31.38,31.395,31.38,31.395,3116
2022-04-07 17:00:00,31.39,31.44,31.29,31.32,107718
2022-04-07 16:00:00,31.48,31.73,31.38,31.4,3051035
2022-04-07 15:00:00,30.92,31.56,30.92,31.49,2353971
2022-04-07 14:00:00,30.6119,30.9401,30.6119,30.92,1551833
2022-04-07 13:00:00,30.52,30.62,30.38,30.61,1524459
2022-04-07 12:00:00,30.76,30.83,30.26,30.525,2250642
2022-04-07 11:00:00,31.135,31.4191,30.57,30.76,2582706
2022-04-07 10:00:00,30.69,31.19,30.6434,31.13,2232005
2022-04-07 09:00:00,30.91,31.11,30.69,30.72,49338
2022-04-07 08:00:00,30.79,30.99,30.79,30.91,4923
2022-04-07 07:00:00,31.08,31.08,31.08,31.08,786
2022-04-06 20:00:00,30.8,30.8,30.6,30.6,15238
2022-04-06 19:00:00,31.02,31.04,30.75,30.77,11732
2022-04-06 18:00:00,31.05,31.05,30.95,31.0,8443
2022-04-06 17:00:00,31.02,31.22,30.9,31.04,79124
2022-04-06 16:00:00,31.19,31.3399,27.5,31.09,3862422
2022-04-06 15:00:00,31.265,31.41,30.6,31.17,3101607
2022-04-06 14:00:00,31.42,31.45,31.11,31.265,2061624
2022-04-06 13:00:00,31.56,31.7099,31.22,31.425,1603834
2022-04-06 12:00:00,31.58,31.84,31.39,31.56,2538412
2022-04-06 11:00:00,31.74,31.98,31.4201,31.585,3644051
2022-04-06 10:00:00,32.2,32.409,31.72,31.7368,2822872
2022-04-06 09:00:00,32.4499,32.45,32.1,32.23,62515
2022-04-06 08:00:00,32.5,32.5,32.22,32.35,13866
2022-04-05 20:00:00,32.64,32.64,32.54,32.62,2959
2022-04-05 19:00:00,32.5501,32.64,32.54,32.59,6874
2022-04-05 18:00:00,32.56,32.59,32.54,32.54,4021
2022-04-05 17:00:00,32.54,32.7,32.5,32.5,39933
2022-04-05 16:00:00,32.82,32.83,32.36,32.55,3622521
2022-04-05 15:00:00,33.235,33.3,32.81,32.8101,1967335
2022-04-05 14:00:00,33.1,33.39,33.06,33.24,1536159
2022-04-05 13:00:00,33.14,33.24,32.8201,33.1091,2187922
2022-04-05 12:00:00,33.62,33.75,33.0801,33.13,2109526
2022-04-05 11:00:00,33.81,33.94,33.11,33.63,4004713
2022-04-05 10:00:00,32.45,34.04,32.45,33.8,4713170
2022-04-05 09:00:00,32.28,32.45,32.25,32.38,14001
2022-04-05 08:00:00,32.26,32.45,32.26,32.43,6530
2022-04-05 07:00:00,32.24,32.25,32.24,32.25,1513
2022-04-05 06:00:00,32.46,32.46,32.31,32.31,401
2022-04-05 05:00:00,32.47,32.63,32.32,32.63,1200
2022-04-04 20:00:00,32.55,32.61,32.48,32.6,11554
2022-04-04 19:00:00,32.48,32.55,32.47,32.54,9968
2022-04-04 18:00:00,32.5,32.55,32.43,32.5495,21698
2022-04-04 17:00:00,32.45,32.545,32.39,32.4339,41891
2022-04-04 16:00:00,32.555,32.61,32.39,32.45,2406918
2022-04-04 15:00:00,32.26,32.57,32.21,32.555,1279584
2022-04-04 14:00:00,32.14,32.26,32.045,32.26,881823
2022-04-04 13:00:00,32.18,32.325,32.08,32.1403,1105314
2022-04-04 12:00:00,32.14,32.31,31.945,32.18,1347728
2022-04-04 11:00:00,31.98,32.23,31.86,32.135,1966794
2022-04-04 10:00:00,32.46,32.55,31.79,31.98,1885100
2022-04-04 09:00:00,32.4494,32.71,32.2499,32.51,90226
2022-04-04 08:00:00,32.25,32.48,32.25,32.48,4847
2022-04-04 06:00:00,32.38,32.38,32.38,32.38,415
2022-04-01 20:00:00,32.36,32.36,32.25,32.36,1050
2022-04-01 19:00:00,32.26,32.28,32.25,32.25,1244
2022-04-01 18:00:00,32.29,32.366,32.19,32.25,1841
2022-04-01 17:00:00,32.35,32.39,31.7,32.32,133725
2022-04-01 16:00:00,32.26,32.41,32.1335,32.36,2548726
2022-04-01 15:00:00,32.04,32.355,31.985,32.255,1356278
2022-04-01 14:00:00,31.87,32.09,31.825,32.045,1168112
2022-04-01 13:00:00,32.0696,32.11,31.305,31.87,2652048
2022-04-01 12:00:00,32.29,32.3701,32.02,32.06,2008659
2022-04-01 11:00:00,32.9199,33.25,32.26,32.293,3375046
2022-04-01 10:00:00,32.3799,33.25,32.3,32.92,2887900
2022-04-01 09:00:00,32.3899,32.42,32.21,32.35,45677
2022-04-01 08:00:00,32.28,32.39,32.28,32.38,7450
2022-03-31 20:00:00,32.11,32.15,32.11,32.11,19051
2022-03-31 19:00:00,32.11,32.14,32.1,32.11,21944
2022-03-31 18:00:00,32.18,32.18,32.11,32.16,10676
2022-03-31 17:00:00,32.21,32.27,32.11,32.15,170809
2022-03-31 16:00:00,32.66,32.7,32.06,32.21,4433199
2022-03-31 15:00:00,32.66,32.77,32.5228,32.6501,1271676
2022-03-31 14:00:00,32.77,32.9,32.5332,32.6581,1446328
2022-03-31 13:00:00,32.89,32.9764,32.6829,32.77,1052597
2022-03-31 12:00:00,32.88,32.92,32.64,32.895,1423563
2022-03-31 11:00:00,33.03,33.075,32.645,32.89,2141425
2022-03-31 10:00:00,31.94,33.2,31.9,33.04,3042704
2022-03-31 09:00:00,31.9201,32.0899,31.79,31.92,17264
2022-03-31 08:00:00,31.92,31.96,31.88,31.96,926
2022-03-31 05:00:00,31.83,31.83,31.83,31.83,801
2022-03-30 20:00:00,32.03,32.15,32.03,32.15,9554
2022-03-30 19:00:00,32.06,32.11,32.0,32.0,2207
2022-03-30 18:00:00,32.05,32.05,31.95,32.05,4985
2022-03-30 17:00:00,32.13,32.13,31.95,32.02,55883
2022-03-30 16:00:00,31.925,32.13,31.7747,32.13,3665440
2022-03-30 15:00:00,32.11,32.17,31.8728,31.925,1833137
2022-03-30 14:00:00,32.28,32.3482,32.09,32.12,1039353
2022-03-30 13:00:00,32.47,32.5483,32.19,32.285,1114951
2022-03-30 12:00:00,32.49,32.52,32.205,32.475,1699823
2022-03-30 11:00:00,32.1018,32.63,31.95,32.5,2938443
2022-03-30 10:00:00,32.39,33.04,31.995,32.08,3402792
2022-03-30 09:00:00,32.06,32.46,32.06,32.39,108250
2022-03-30 08:00:00,32.04,32.25,32.02,32.25,7735
2022-03-30 07:00:00,32.14,32.31,32.14,32.3,4118
2022-03-30 06:00:00,32.25,32.28,31.99,31.99,965
2022-03-30 05:00:00,32.29,32.3,32.2,32.3,800
2022-03-29 20:00:00,31.81,31.85,31.74,31.85,8604
2022-03-29 19:00:00,31.85,31.85,31.71,31.72,7875
2022-03-29 18:00:00,31.9,31.93,31.7601,31.85,9483
2022-03-29 17:00:00,31.97,32.0,31.72,31.92,84547
2022-03-29 16:00:00,31.774,32.04,31.72,31.97,3099291
2022-03-29 15:00:00,31.605,31.895,31.565,31.775,1715796
2022-03-29 14:00:00,31.41,31.6098,31.23,31.595,1773645
2022-03-29 13:00:00,31.195,31.54,30.965,31.4084,3954856
2022-03-29 12:00:00,31.355,31.56,31.145,31.19,2866225
2022-03-29 11:00:00,30.9326,31.5,30.5001,31.3529,4612061
2022-03-29 10:00:00,31.74,31.96,30.24,30.934,7199163
2022-03-29 09:00:00,31.9701,33.33,31.7,31.74,386837
2022-03-29 08:00:00,33.19,33.19,31.97,32.2,84323
2022-03-29 07:00:00,33.02,33.02,33.02,33.02,613
2022-03-29 06:00:00,33.36,33.36,33.35,33.35,585
2022-03-28 20:00:00,33.0,33.06,33.0,33.04,12713
2022-03-28 19:00:00,33.0,33.01,32.95,32.96,6412
2022-03-28 18:00:00,33.01,33.05,33.0,33.03,13705
2022-03-28 17:00:00,33.07,33.1,32.89,33.0,92108
2022-03-28 16:00:00,32.925,33.07,32.765,33.07,3962736
2022-03-28 15:00:00,32.639,32.9643,32.59,32.92,1226365
2022-03-28 14:00:00,32.67,32.77,32.22,32.64,1097621
2022-03-28 13:00:00,32.53,32.805,32.525,32.6792,1487766
2022-03-28 12:00:00,32.5771,32.71,32.39,32.5317,1945559
2022-03-28 11:00:00,32.6926,32.9388,32.0127,32.58,3452369
2022-03-28 10:00:00,32.57,33.2015,32.27,32.685,3513984
2022-03-28 09:00:00,32.6501,32.92,32.48,32.57,116324
2022-03-28 08:00:00,32.3,32.97,32.3,32.64,23317
2022-03-28 07:00:00,32.54,32.61,32.47,32.47,930
2022-03-28 06:00:00,32.54,32.54,32.54,32.54,202
2022-03-25 20:00:00,32.96,32.96,32.78,32.87,15031
2022-03-25 19:00:00,32.92,32.98,32.88,32.96,33589
2022-03-25 18:00:00,32.95,32.99,32.9,32.9,20868
2022-03-25 17:00:00,33.0,33.09,32.9,32.99,94941
2022-03-25 16:00:00,33.16,33.16,32.93,32.99,3126535
2022-03-25 15:00:00,33.32,33.32,33.035,33.165,1965945
2022-03-25 14:00:00,32.82,33.34,32.72,33.3178,2727168
2022-03-25 13:00:00,32.81,33.095,32.73,32.8213,2415859
2022-03-25 12:00:00,32.69,32.88,32.39,32.81,2718652
2022-03-25 11:00:00,32.4,32.87,31.89,32.69,4570443
2022-03-25 10:00:00,32.25,32.505,31.72,32.39,4505019
2022-03-25 09:00:00,32.17,32.64,32.12,32.23,145981
2022-03-25 08:00:00,32.45,32.79,32.15,32.25,41756
2022-03-25 07:00:00,32.2,32.2,32.2,32.2,100
2022-03-25 05:00:00,31.91,32.22,31.91,32.0,1297
2022-03-24 20:00:00,32.59,32.64,32.45,32.6,18423
2022-03-24 19:00:00,32.49,32.59,32.36,32.59,17625
2022-03-24 18:00:00,32.4799,32.59,32.33,32.49,26050
2022-03-24 17:00:00,32.67,32.69,32.49,32.49,102945
2022-03-24 16:00:00,32.73,32.895,32.4819,32.69,6235773
2022-03-24 15:00:00,32.675,32.7983,32.41,32.72,4498444
2022-03-24 14:00:00,32.11,32.6999,31.96,32.68,4635470
2022-03-24 13:00:00,32.1,32.19,31.69,32.1146,8066683
2022-03-24 12:00:00,32.34,32.49,32.01,32.1004,7703896
2022-03-24 11:00:00,31.2,32.349,31.1126,32.34,11718481
2022-03-24 10:00:00,29.63,31.25,29.36,31.205,7959033
2022-03-24 09:00:00,29.5994,29.79,29.5,29.6,102431
2022-03-24 08:00:00,29.61,29.78,29.5,29.66,27543
2022-03-23 20:00:00,29.25,29.49,29.19,29.33,36191
