time,open,high,low,close,volume
2022-04-08 20:00:00,38.7,38.8,38.62,38.8,7070
2022-04-08 19:00:00,38.91,38.92,38.61,38.61,15159
2022-04-08 18:00:00,38.8,38.9384,38.75,38.7655,16553
2022-04-08 17:00:00,38.79,38.85,38.7,38.8,36952
2022-04-08 16:00:00,38.8554,39.13,38.53,38.73,1457110
2022-04-08 15:00:00,39.1,39.32,38.41,38.82,1130157
2022-04-08 14:00:00,40.01,40.01,38.9,39.11,1114929
2022-04-08 13:00:00,40.41,40.6,39.88,40.03,790404
2022-04-08 12:00:00,40.08,41.0411,39.9,40.43,2141561
2022-04-08 11:00:00,38.45,40.15,38.3085,40.09,2118985
2022-04-08 10:00:00,39.3919,39.8999,38.35,38.47,1217982
2022-04-08 09:00:00,40.208,40.35,39.0,39.3513,87690
2022-04-08 08:00:00,40.25,40.26,40.01,40.15,16375
2022-04-08 07:00:00,40.14,40.35,40.03,40.35,8333
2022-04-08 06:00:00,40.37,40.37,40.1,40.13,15073
2022-04-08 05:00:00,40.68,40.75,40.25,40.3,17649
2022-04-07 20:00:00,40.0,40.19,39.96,40.19,13896
2022-04-07 19:00:00,39.97,40.03,39.9,40.0,4219
2022-04-07 18:00:00,39.99,39.99,39.9,39.92,9509
2022-04-07 17:00:00,39.92,40.11,39.85,39.91,54420
2022-04-07 16:00:00,39.7575,40.2,39.56,39.92,2551151
2022-04-07 15:00:00,39.49,39.94,39.16,39.755,1941982
2022-04-07 14:00:00,38.0925,39.5193,37.97,39.46,2362026
2022-04-07 13:00:00,38.01,38.1494,37.6,38.0921,2376629
2022-04-07 12:00:00,38.8,39.0793,37.89,38.01,2990257
2022-04-07 11:00:00,40.1012,40.3,38.77,38.7902,3558826
2022-04-07 10:00:00,40.08,40.5,38.96,40.1001,2743759
2022-04-07 09:00:00,40.77,40.873,40.03,40.06,74811
2022-04-07 08:00:00,40.8,40.85,40.42,40.42,34462
2022-04-07 07:00:00,40.66,41.0,40.6,40.85,40858
2022-04-07 06:00:00,40.88,40.9,40.66,40.69,18082
2022-04-07 05:00:00,41.05,41.05,40.2,40.89,22509
2022-04-06 20:00:00,40.25,40.34,40.15,40.25,22541
2022-04-06 19:00:00,40.18,40.25,40.15,40.25,11400
2022-04-06 18:00:00,40.23,40.23,40.13,40.19,16400
2022-04-06 17:00:00,40.1,40.25,39.92,40.23,66231
2022-04-06 16:00:00,41.14,41.21,39.93,40.06,3711021
2022-04-06 15:00:00,41.11,41.5,40.11,41.11,3016306
2022-04-06 14:00:00,39.99,41.84,39.8,41.09,2108757
2022-04-06 13:00:00,39.97,40.09,39.571,39.9905,1629423
2022-04-06 12:00:00,39.87,40.24,39.58,39.97,2251781
2022-04-06 11:00:00,41.33,41.4,39.85,39.9024,4580881
2022-04-06 10:00:00,43.19,43.55,41.24,41.33,3579744
2022-04-06 09:00:00,43.17,43.75,42.51,43.17,395154
2022-04-06 08:00:00,43.39,43.4,42.65,42.83,131319
2022-04-06 07:00:00,43.33,43.6,43.33,43.41,23243
2022-04-06 06:00:00,42.9,43.85,42.9,43.6,53927
2022-04-06 05:00:00,43.45,43.5,42.65,42.92,36970
2022-04-05 20:00:00,42.89,42.94,42.7,42.75,24815
2022-04-05 19:00:00,42.64,42.94,42.6,42.85,15912
2022-04-05 18:00:00,42.92,43.0,42.23,42.68,111086
2022-04-05 17:00:00,42.19,44.17,41.37,42.91,283734
2022-04-05 16:00:00,42.62,42.735,41.89,42.185,3947938
2022-04-05 15:00:00,42.8,43.08,42.56,42.6,1358811
2022-04-05 14:00:00,42.97,43.1,42.41,42.81,1819102
2022-04-05 13:00:00,43.2257,43.5714,42.85,42.94,2344818
2022-04-05 12:00:00,43.715,44.22,43.09,43.23,2680241
2022-04-05 11:00:00,44.725,45.07,43.42,43.71,3428457
2022-04-05 10:00:00,46.32,46.88,44.13,44.76,2780235
2022-04-05 09:00:00,46.4001,46.59,46.12,46.31,58556
2022-04-05 08:00:00,46.57,46.57,46.21,46.37,12754
2022-04-05 07:00:00,46.66,46.67,46.2,46.33,9847
2022-04-05 06:00:00,46.77,46.83,46.61,46.61,7450
2022-04-05 05:00:00,47.53,47.53,46.72,46.76,7229
2022-04-04 20:00:00,46.69,46.7,46.58,46.59,4768
2022-04-04 19:00:00,46.7,46.78,46.6,46.77,18452
2022-04-04 18:00:00,46.6499,46.78,46.6,46.78,21351
2022-04-04 17:00:00,46.53,46.95,46.4706,46.65,39900
2022-04-04 16:00:00,47.355,47.381,46.42,46.5,2205791
2022-04-04 15:00:00,46.91,47.6954,46.7606,47.35,1646637
2022-04-04 14:00:00,46.915,47.02,46.09,46.92,1361383
2022-04-04 13:00:00,47.18,47.265,46.73,46.9,1429849
2022-04-04 12:00:00,46.5234,47.53,46.5234,47.1924,2585730
2022-04-04 11:00:00,46.5297,46.78,45.65,46.5337,3104843
2022-04-04 10:00:00,46.59,47.38,45.68,46.54,2291182
2022-04-04 09:00:00,47.5,47.57,46.45,46.59,117000
2022-04-04 08:00:00,47.59,47.6,46.63,47.0,43293
2022-04-04 07:00:00,47.59,47.8,47.5,47.6,28966
2022-04-04 06:00:00,47.36,47.6,47.36,47.6,8547
2022-04-04 05:00:00,47.83,47.87,47.19,47.35,17882
2022-04-01 20:00:00,46.86,46.86,46.75,46.85,8313
2022-04-01 19:00:00,46.89,46.96,46.71,46.77,7040
2022-04-01 18:00:00,46.64,46.9,46.6115,46.9,31144
2022-04-01 17:00:00,46.44,46.7,46.44,46.64,56084
2022-04-01 16:00:00,46.52,46.65,46.21,46.41,2535641
2022-04-01 15:00:00,46.52,46.6696,46.3,46.52,1156503
2022-04-01 14:00:00,46.6,47.02,46.38,46.53,1273554
2022-04-01 13:00:00,47.245,47.37,46.56,46.61,1616647
2022-04-01 12:00:00,48.3,48.39,47.12,47.2434,1680916
2022-04-01 11:00:00,48.48,48.88,47.3501,48.315,3056313
2022-04-01 10:00:00,50.51,50.7,48.19,48.4814,2223660
2022-04-01 09:00:00,50.9399,51.19,50.24,50.55,56714
2022-04-01 08:00:00,50.62,51.03,50.55,50.79,39982
2022-04-01 07:00:00,50.54,50.65,50.4,50.65,12485
2022-04-01 06:00:00,50.42,50.73,50.3,50.54,10339
2022-04-01 05:00:00,51.28,51.28,50.32,50.45,11256
2022-03-31 20:00:00,50.39,50.39,50.25,50.39,2440
2022-03-31 19:00:00,50.25,50.44,50.2,50.44,4629
2022-03-31 18:00:00,50.34,50.4268,50.24,50.3,5766
2022-03-31 17:00:00,50.32,50.45,50.02,50.28,111072
2022-03-31 16:00:00,50.48,50.78,49.87,50.235,1833319
2022-03-31 15:00:00,50.0,50.56,49.59,50.4857,858273
2022-03-31 14:00:00,50.16,50.48,49.55,50.0,1162173
2022-03-31 13:00:00,50.73,50.96,50.13,50.18,844494
2022-03-31 12:00:00,51.21,51.33,50.35,50.71,983216
2022-03-31 11:00:00,50.67,51.52,49.92,51.23,2547110
2022-03-31 10:00:00,52.57,52.9,49.75,50.67,2639879
2022-03-31 09:00:00,52.82,53.0,52.33,52.57,45282
2022-03-31 08:00:00,52.85,52.95,52.49,52.71,14669
2022-03-31 07:00:00,53.08,53.13,52.83,52.85,13615
2022-03-31 06:00:00,52.93,53.25,52.93,53.08,9102
2022-03-31 05:00:00,51.8,53.41,51.8,52.96,7101
2022-03-30 20:00:00,52.43,52.75,52.42,52.5,10711
2022-03-30 19:00:00,52.5,52.65,52.35,52.42,4626
2022-03-30 18:00:00,52.58,52.6,52.31,52.35,18625
2022-03-30 17:00:00,51.9701,52.5,51.9701,52.5,45117
2022-03-30 16:00:00,53.025,53.04,51.81,51.99,3045578
2022-03-30 15:00:00,53.895,54.15,53.01,53.0149,1054887
2022-03-30 14:00:00,55.4355,55.4355,53.575,53.8819,1624968
2022-03-30 13:00:00,55.14,55.87,54.75,55.44,1568890
2022-03-30 12:00:00,55.12,55.69,54.2717,55.17,3001419
2022-03-30 11:00:00,53.2872,56.7599,52.04,55.1,5425795
2022-03-30 10:00:00,52.7702,54.2,51.81,53.2,2529383
2022-03-30 09:00:00,53.0024,53.9,52.73,52.73,65934
2022-03-30 08:00:00,53.01,53.99,52.99,53.65,70760
2022-03-30 07:00:00,53.01,53.11,52.8,53.11,10210
2022-03-30 06:00:00,52.59,53.04,52.59,53.04,6012
2022-03-30 05:00:00,53.4,53.4,52.16,52.55,47545
2022-03-29 20:00:00,53.4,53.51,53.3,53.51,16272
2022-03-29 19:00:00,53.5001,53.61,53.45,53.45,8817
2022-03-29 18:00:00,53.79,53.8141,53.43,53.5054,40715
2022-03-29 17:00:00,53.88,53.88,53.1801,53.79,74460
2022-03-29 16:00:00,53.76,54.83,53.2301,53.9,4116910
2022-03-29 15:00:00,52.765,54.0,52.76,53.7754,3147277
2022-03-29 14:00:00,51.75,52.79,51.39,52.75,2395241
2022-03-29 13:00:00,50.76,51.88,49.75,51.73,2507191
2022-03-29 12:00:00,51.8401,52.1,50.25,50.74,3494191
2022-03-29 11:00:00,49.0,52.9799,47.1,51.88,6110053
2022-03-29 10:00:00,46.63,49.21,46.531,49.0,3192089
2022-03-29 09:00:00,45.85,46.99,45.83,46.63,91828
2022-03-29 08:00:00,45.85,46.15,45.83,46.14,18328
2022-03-29 07:00:00,45.98,46.04,45.76,45.83,10174
