time,open,high,low,close,volume
2022-03-11 20:00:00,79.19,79.31,79.0001,79.31,2140
2022-03-11 19:00:00,79.0,79.19,79.0,79.19,966
2022-03-11 18:00:00,79.01,79.31,79.0,79.31,814
2022-03-11 17:00:00,78.86,79.31,78.22,79.28,37504
2022-03-11 16:00:00,79.65,79.9,78.72,78.93,898855
2022-03-11 15:00:00,80.25,80.46,79.54,79.69,289294
2022-03-11 14:00:00,80.0609,81.146,80.04,80.3,254881
2022-03-11 13:00:00,81.4,81.5495,79.77,80.1,323836
2022-03-11 12:00:00,81.3859,81.76,80.58,81.355,404944
2022-03-11 11:00:00,82.74,82.82,80.77,81.4,470717
2022-03-11 10:00:00,84.1,85.84,82.61,82.82,403286
2022-03-11 09:00:00,85.3499,85.9,84.0,84.02,9115
2022-03-11 08:00:00,85.0,85.6,84.9,84.9,7446
2022-03-11 07:00:00,84.88,85.49,84.88,85.49,2321
2022-03-10 20:00:00,83.4,83.5,82.98,83.5,926
2022-03-10 19:00:00,82.56,83.5,82.56,83.5,1433
2022-03-10 18:00:00,83.13,83.25,82.5601,82.6387,3286
2022-03-10 17:00:00,83.12,83.5,83.12,83.12,2755
2022-03-10 16:00:00,83.85,83.9,82.91,83.12,567174
2022-03-10 15:00:00,82.95,84.09,82.165,83.77,447037
2022-03-10 14:00:00,83.01,83.5299,82.5,82.92,241238
2022-03-10 13:00:00,82.9388,83.555,82.3,82.92,241270
2022-03-10 12:00:00,82.01,82.99,81.2,82.92,415855
2022-03-10 11:00:00,84.49,85.535,81.78,82.015,845033
2022-03-10 10:00:00,86.0,86.91,83.08,84.495,531495
2022-03-10 09:00:00,85.8,86.8,85.8,86.0,10316
2022-03-10 08:00:00,86.39,86.45,86.39,86.44,843
2022-03-10 06:00:00,86.91,86.92,86.91,86.92,407
2022-03-10 05:00:00,87.5,87.57,86.01,86.01,1778
2022-03-09 20:00:00,87.84,88.49,87.25,87.8,1246
2022-03-09 19:00:00,87.9,87.9,87.64,87.64,858
2022-03-09 18:00:00,88.0,88.49,88.0,88.0001,553
2022-03-09 17:00:00,87.87,88.48,87.87,87.87,10954
2022-03-09 16:00:00,87.59,88.67,87.53,87.81,660904
2022-03-09 15:00:00,87.935,88.1387,86.96,87.53,271313
2022-03-09 14:00:00,87.94,89.28,87.36,87.89,375220
2022-03-09 13:00:00,87.1,88.45,86.525,87.98,370124
